Number of nodes,Number of links,Density,Average in-degree,Average out-degree,Average total degree,Maximum in-degree,Maximum out-degree,Maximum total degree,Average in-strength,Average out-strength,Average total strength,Average shortest path length,Diameter,Average clustering coefficient
59574,148959,4.20E-05,2.50040286,2.50040286,5.000805721,29021,15264,44285,23.9956669,23.9956669,47.99133379,7.570300706,291,0.162315532
60774,153809,4.16E-05,2.530835555,2.530835555,5.061671109,29778,15198,44976,26.43922029,26.43922029,52.87844059,7.48833107,230,0.17440375
60619,153914,4.19E-05,2.539038915,2.539038915,5.07807783,31086,15965,47051,29.57371017,29.57371017,59.14742035,Na,146,0.153344958
65944,166822,3.84E-05,2.529752517,2.529752517,5.059505035,30185,15972,46157,30.70618218,30.70618218,61.41236436,7.681334487,187,0.162870726
64295,163760,3.96E-05,2.547009876,2.547009876,5.094019753,30048,16136,46184,27.57593965,27.57593965,55.1518793,10.09391679,274,0.165066925
69933,176285,3.60E-05,2.52076988,2.52076988,5.041539759,33142,19229,52371,28.992855,28.992855,57.98571,Na,266,0.171102733
80556,214668,3.31E-05,2.664829435,2.664829435,5.329658871,38376,22074,60450,27.78060048,27.78060048,55.56120097,Na,271,0.15870364
71727,185615,3.61E-05,2.587798179,2.587798179,5.175596358,33397,17952,51349,23.52988626,23.52988626,47.05977253,Na,177,0.157464965
97739,259483,2.72E-05,2.654856301,2.654856301,5.309712602,43200,24946,68146,25.20999866,25.20999866,50.41999732,Na,Na,0.152519675
96291,257001,2.77E-05,2.669003334,2.669003334,5.338006667,42679,24588,67267,35.35434901,35.35434901,70.70869802,Na,Na,0.144087567
147046,405149,1.87E-05,2.755253458,2.755253458,5.510506916,66194,33168,99362,41.73060365,41.73060365,83.4612073,Na,Na,0.164367882
165768,456183,1.66E-05,2.751936441,2.751936441,5.503872883,88358,37205,125563,45.65323028,45.65323028,91.30646057,Na,Na,0.147067139
165772,463363,1.69E-05,2.79518254,2.79518254,5.59036508,80395,36819,117214,34.1639764,34.1639764,68.32795279,Na,Na,Na
